Player, Salary in $ ,Year,Team
A.C. Green,"$1,750,000.00 ",1990,LAL
A.C. Green,"$1,750,000.00 ",1991,LAL
A.C. Green,"$1,750,000.00 ",1992,LAL
A.C. Green,"$1,885,000.00 ",1993,PHO
A.C. Green,"$6,472,600.00 ",1994,PHO
A.C. Green,"$6,473,000.00 ",1995,PHO
A.C. Green,"$4,851,000.00 ",1996,DAL
A.C. Green,"$5,125,088.00 ",1998,DAL
A.C. Green,"$1,700,000.00 ",1999,LAL
A.C. Green,"$2,250,000.00 ",2000,MIA
A.J. Bramlett,"$118,974.00 ",1999,CLE
A.J. English,"$275,000.00 ",1990,WAS
A.J. English,"$325,000.00 ",1991,WAS
A.J. English,"$406,000.00 ",1992,WAS
A.J. English,"$150,000.00 ",1993,CHI
A.J. English,"$150,000.00 ",1993,POR
A.J. Guyton,"$316,969.00 ",2000,CHI
A.J. Guyton,"$465,850.00 ",2001,CHI
A.J. Guyton,"$18,748.00 ",2002,GSW
A.J. Hammons,"$650,000.00 ",2016,DAL
A.J. Hammons,"$1,312,611.00 ",2017,MIA
A.J. Price,"$457,588.00 ",2009,IND
A.J. Price,"$762,195.00 ",2010,IND
A.J. Price,"$854,389.00 ",2011,IND
A.J. Price,"$885,120.00 ",2012,WAS
A.J. Price,"$62,552.00 ",2014,PHO
A.J. Wynder,"$30,000.00 ",1990,BOS
A.J. Wynder,"$130,000.00 ",1991,BOS
A.J. Wynder,"$140,000.00 ",1992,BOS
Aaron Brooks,"$1,045,560.00 ",2008,HOU
Aaron Brooks,"$1,118,520.00 ",2009,HOU
Aaron Brooks,"$3,250,000.00 ",2012,SAC
Aaron Brooks,"$3,396,250.00 ",2013,SAC
Aaron Brooks,"$1,027,424.00 ",2013,HOU
Aaron Brooks,"$2,000,000.00 ",2015,CHI
Aaron Brooks,"$2,700,000.00 ",2016,IND
Aaron Brooks,"$2,116,955.00 ",2017,MIN
Aaron Craft,"$35,000.00 ",2014,GSW
Aaron Gordon,"$3,992,040.00 ",2014,ORL
Aaron Gordon,"$4,171,680.00 ",2015,ORL
Aaron Gordon,"$4,351,320.00 ",2016,ORL
Aaron Gordon,"$5,504,420.00 ",2017,ORL
Aaron Gray,"$427,163.00 ",2007,CHI
Aaron Gray,"$711,517.00 ",2008,CHI
Aaron Gray,"$1,000,497.00 ",2009,NOH
Aaron Gray,"$1,028,840.00 ",2010,NOH
Aaron Gray,"$2,500,000.00 ",2011,TOR
Aaron Gray,"$2,575,000.00 ",2012,TOR
Aaron Gray,"$2,690,875.00 ",2013,TOR
Aaron Gray,"$1,227,985.00 ",2014,DET
Aaron Gray,"$452,059.00 ",2015,DET
Aaron Gray,"$452,059.00 ",2016,DET
Aaron Gray,"$452,059.00 ",2017,DET
Aaron Harrison,"$525,093.00 ",2015,CHA
Aaron Harrison,"$375,579.00 ",2016,CHA
Aaron McKie,"$650,000.00 ",1994,POR
Aaron McKie,"$845,000.00 ",1995,POR
Aaron McKie,"$1,040,000.00 ",1996,POR
Aaron McKie,"$1,235,000.00 ",1997,DET
Aaron McKie,"$1,430,000.00 ",1998,PHI
Aaron McKie,"$1,624,000.00 ",1999,PHI
Aaron McKie,"$4,000,000.00 ",2001,PHI
Aaron McKie,"$5,500,000.00 ",2004,PHI
Aaron McKie,"$6,000,000.00 ",2005,PHI
Aaron McKie,"$2,500,000.00 ",2005,LAL
Aaron McKie,"$5,570,874.00 ",2006,PHI
Aaron McKie,"$2,500,000.00 ",2006,LAL
Aaron McKie,"$750,000.00 ",2007,MEM
Aaron Miles,"$155,614.00 ",2005,GSW
Aaron Swinson,"$102,424.00 ",1994,PHO
Aaron Williams,"$150,000.00 ",1994,MIL
Aaron Williams,"$169,000.00 ",1996,DEN
Aaron Williams,"$500,000.00 ",1997,OKC
Aaron Williams,"$575,000.00 ",1998,OKC
Aaron Williams,"$1,100,000.00 ",1999,WAS
Aaron Williams,"$2,250,000.00 ",2000,NJN
Aaron Williams,"$2,475,000.00 ",2001,NJN
Aaron Williams,"$2,700,000.00 ",2002,NJN
Aaron Williams,"$2,925,000.00 ",2003,NJN
Aaron Williams,"$3,790,257.00 ",2004,TOR
Aaron Williams,"$3,375,000.00 ",2005,TOR
Aaron Williams,"$1,750,000.00 ",2006,LAC
Aaron Williams,"$1,890,000.00 ",2007,LAC
Abdel Nader,"$1,167,333.00 ",2017,BOS
Acie Earl,"$650,000.00 ",1993,BOS
Acie Earl,"$845,000.00 ",1994,BOS
Acie Earl,"$1,040,000.00 ",1995,TOR
Acie Earl,"$1,235,000.00 ",1996,TOR
Acie Earl,"$1,430,000.00 ",1997,MIL
Acie Law,"$1,927,080.00 ",2007,ATL
Acie Law,"$2,071,680.00 ",2008,ATL
Acie Law,"$2,216,160.00 ",2009,CHI
Acie Law,"$656,030.00 ",2010,GSW
Acie Law,"$203,057.00 ",2010,MEM
Adam Harrington,"$140,636.00 ",2002,DAL
Adam Keefe,"$1,000,000.00 ",1992,ATL
Adam Keefe,"$1,200,000.00 ",1993,ATL
Adam Keefe,"$1,500,000.00 ",1994,UTA
Adam Keefe,"$1,650,000.00 ",1995,UTA
Adam Keefe,"$1,950,000.00 ",1996,UTA
Adam Keefe,"$2,300,000.00 ",1997,UTA
Adam Keefe,"$2,650,000.00 ",1998,UTA
Adam Keefe,"$3,390,000.00 ",2000,GSW
Adam Morrison,"$4,159,200.00 ",2008,LAL
Adam Morrison,"$5,257,229.00 ",2009,LAL
